PROBEID	SYMBOL	logFC	P.Value	adj.P.Val
205663_at	PCBP3	-0.350480972	8.32E-07	3.42E-06
227106_at	TMEM198B	0.420115905	8.34E-07	3.42E-06
205312_at	SPI1	0.518188552	8.35E-07	3.42E-06
226338_at	PIP4P2	-0.586121302	8.36E-07	3.43E-06
226687_at	PRPF40A	-0.255496033	8.37E-07	3.43E-06
232745_x_at	SPEF2	-0.280254408	8.39E-07	3.44E-06
239144_at	B3GAT2	-1.116553358	8.41E-07	3.45E-06
224435_at	PRXL2A	-0.593429553	8.41E-07	3.45E-06
203438_at	STC2	0.577773483	8.43E-07	3.46E-06
1569002_x_at	BMP1	-0.345446734	8.43E-07	3.46E-06
226280_at	BNIP2	0.463472249	8.45E-07	3.47E-06
205706_s_at	ANKRD26	-0.244992119	8.45E-07	3.47E-06
229528_at	SBNO1	-0.331261204	8.48E-07	3.48E-06
232671_at	SLFNL1-AS1	-0.319036973	8.49E-07	3.48E-06
201010_s_at	TXNIP	0.902710359	8.51E-07	3.49E-06
223712_at	PCBD2	0.345660757	8.51E-07	3.49E-06
211078_s_at	STK3	0.16554053	8.51E-07	3.49E-06
218385_at	MRPS18A	0.475235371	8.51E-07	3.49E-06
234756_at	CACNG8	-0.497337547	8.53E-07	3.49E-06
205282_at	LRP8	-0.570654101	8.53E-07	3.49E-06
232263_at	SLC6A15	-0.365633189	8.54E-07	3.50E-06
235751_s_at	VMO1	0.374670123	8.57E-07	3.51E-06
204175_at	ZNF593	0.539938363	8.58E-07	3.52E-06
212476_at	ACAP2	0.583989744	8.58E-07	3.52E-06
222262_s_at	ETNK1	0.451942735	8.60E-07	3.52E-06
1552274_at	PXK	-0.858665262	8.60E-07	3.52E-06
220094_s_at	MCUR1	0.472599108	8.60E-07	3.52E-06
212042_x_at	RPL7	0.308072546	8.63E-07	3.53E-06
1558052_at	TMED4	-0.35829665	8.63E-07	3.54E-06
204558_at	RAD54L	0.465554195	8.65E-07	3.54E-06
213394_at	MAPKBP1	-0.313641514	8.65E-07	3.54E-06
206259_at	PROC	-0.280275193	8.68E-07	3.55E-06
210556_at	NFATC3	0.489483949	8.69E-07	3.56E-06
236248_x_at	TADA2B	-0.400818907	8.71E-07	3.57E-06
1567273_at	OR2K2	-0.229744037	8.73E-07	3.57E-06
202821_s_at	LPP	0.463197601	8.76E-07	3.59E-06
227720_at	ANKRD13B	-0.392385362	8.77E-07	3.59E-06
208804_s_at	SRSF6	0.485733744	8.78E-07	3.59E-06
230382_at	SLC11A1	-0.287166668	8.78E-07	3.59E-06
231130_at	FKBP7	0.713268838	8.79E-07	3.60E-06
237840_at	LINC01118	-0.183584687	8.80E-07	3.60E-06
215892_at	ZNF440	0.300538152	8.81E-07	3.60E-06
213435_at	SATB2	-0.715927088	8.81E-07	3.60E-06
226692_at	SERF2	0.383664122	8.82E-07	3.61E-06
1564002_a_at	AK9	-0.310281748	8.82E-07	3.61E-06
1561368_at	LOC105376081	-0.255997493	8.83E-07	3.61E-06
222453_at	CYBRD1	0.89440836	8.83E-07	3.61E-06
235094_at	TPM4	0.97605725	8.84E-07	3.61E-06
209738_x_at	PSG6	-0.180671835	8.85E-07	3.62E-06
1555783_x_at	SLC66A1	0.307460964	8.86E-07	3.62E-06
1555742_at	ERVH-6	-0.325559322	8.88E-07	3.63E-06
231010_at	AP1AR	-0.237973651	8.90E-07	3.64E-06
217849_s_at	CDC42BPB	-0.617433306	8.91E-07	3.64E-06
230343_at	CST3	0.859159197	8.92E-07	3.64E-06
1553317_s_at	GPR82	0.387785033	8.92E-07	3.65E-06
223571_at	C1QTNF6	0.609503113	8.94E-07	3.65E-06
205822_s_at	HMGCS1	-1.009768893	8.94E-07	3.65E-06
1559139_at	NOC2L	0.412681703	8.97E-07	3.66E-06
1552348_at	PRSS33	-0.256861391	8.97E-07	3.66E-06
202514_at	DLG1	-0.781804592	8.98E-07	3.67E-06
48106_at	SLC48A1	-0.745964746	8.98E-07	3.67E-06
1566734_at	HRK	-0.252488447	8.99E-07	3.67E-06
233549_at	PDE1A	-0.194204003	9.01E-07	3.68E-06
1555685_at	H6PD	0.198737901	9.01E-07	3.68E-06
211774_s_at	MMACHC	-0.230574721	9.01E-07	3.68E-06
230079_at	ST7L	0.289575661	9.02E-07	3.68E-06
217066_s_at	DMPK	0.482633348	9.02E-07	3.68E-06
244103_at	SDE2	0.406646865	9.03E-07	3.69E-06
208223_s_at	ACVR1B	-0.34863402	9.04E-07	3.69E-06
221660_at	MYL10	-0.319402496	9.04E-07	3.69E-06
1554974_at	ACY3	-0.249417322	9.06E-07	3.70E-06
227928_at	PARPBP	0.377043419	9.08E-07	3.70E-06
229510_at	MS4A14	0.635878636	9.08E-07	3.70E-06
201712_s_at	RANBP2	-0.472105511	9.10E-07	3.71E-06
235012_at	LRCH1	0.39038316	9.14E-07	3.73E-06
210362_x_at	PML	0.30859291	9.14E-07	3.73E-06
231955_s_at	HIBADH	0.722479609	9.15E-07	3.73E-06
222617_s_at	FAM204A	-0.353429986	9.16E-07	3.73E-06
208460_at	GJC1	0.411024514	9.16E-07	3.73E-06
1557439_at	ARHGEF7-AS2	-0.151188668	9.19E-07	3.75E-06
220282_at	RIC3	-0.422452997	9.19E-07	3.75E-06
AFFX-HSAC07/X00351_5_at	ACTB	0.484631683	9.20E-07	3.75E-06
232395_x_at	AGBL3	0.43147692	9.22E-07	3.76E-06
227150_at	MTF1	0.37608327	9.22E-07	3.76E-06
217069_at	KMT2B	-0.266752634	9.25E-07	3.77E-06
231926_at	EPS15L1	0.316529682	9.25E-07	3.77E-06
218055_s_at	WDR41	0.578388327	9.26E-07	3.77E-06
214123_s_at	NOP14-AS1	0.316883447	9.29E-07	3.79E-06
1555384_a_at	LARP4	0.391655729	9.30E-07	3.79E-06
229635_at	LINC01094	1.242926927	9.31E-07	3.79E-06
238356_at	DOCK11	0.235176741	9.36E-07	3.81E-06
223394_at	SERTAD1	0.454189101	9.37E-07	3.81E-06
202468_s_at	CTNNAL1	0.721738269	9.38E-07	3.82E-06
238982_at	DENR	0.667779865	9.39E-07	3.82E-06
203300_x_at	AP1S2	0.701957593	9.39E-07	3.82E-06
204857_at	MAD1L1	0.415164499	9.43E-07	3.84E-06
227415_at	DGKH	-0.55311575	9.43E-07	3.84E-06
1557267_s_at	GEN1	0.496989644	9.43E-07	3.84E-06
202495_at	TBCC	-0.385530672	9.45E-07	3.84E-06
228086_at	STK33	0.695695148	9.45E-07	3.84E-06
241933_at	QRSL1	0.243173074	9.45E-07	3.85E-06
208178_x_at	TRIO	0.867599008	9.46E-07	3.85E-06
206944_at	HTR6	-0.230335722	9.46E-07	3.85E-06
202315_s_at	BCR	-0.625111237	9.46E-07	3.85E-06
226564_at	ZFAT	-0.206100171	9.48E-07	3.86E-06
221028_s_at	GFOD2	-0.283575845	9.49E-07	3.86E-06
200672_x_at	SPTBN1	-0.653885729	9.50E-07	3.86E-06
1553323_a_at	CATSPER2	-0.218456755	9.50E-07	3.86E-06
1557701_s_at	POLH	0.390956481	9.51E-07	3.87E-06
227103_s_at	ECE2	0.305374672	9.51E-07	3.87E-06
242612_at	NPEPPS	0.269294911	9.52E-07	3.87E-06
221872_at	RARRES1	1.196258622	9.53E-07	3.87E-06
1552970_s_at	ZMYM6	0.263713703	9.54E-07	3.88E-06
1569293_x_at	CROCCP2	0.215574885	9.55E-07	3.88E-06
218654_s_at	MRPS33	0.462317081	9.56E-07	3.89E-06
208685_x_at	BRD2	0.499107686	9.58E-07	3.89E-06
212108_at	FAF2	0.293651897	9.58E-07	3.89E-06
236192_at	HOOK3	0.568213251	9.59E-07	3.90E-06
204551_s_at	AHSG	-0.155133185	9.59E-07	3.90E-06
240633_at	DOK7	-0.217594991	9.60E-07	3.90E-06
225133_at	KLF3	0.606227888	9.62E-07	3.91E-06
1554142_at	SUGT1P3	-0.098067801	9.62E-07	3.91E-06
229414_at	PITPNC1	-0.741065534	9.63E-07	3.91E-06
241096_at	LOC102723364	-0.349323888	9.63E-07	3.91E-06
227726_at	RNF166	0.569453665	9.64E-07	3.92E-06
242248_at	PHKB	0.495557834	9.65E-07	3.92E-06
244728_at	ODC1-DT	-0.192306271	9.65E-07	3.92E-06
1563327_a_at	LINC01545	-0.202336927	9.67E-07	3.93E-06
211235_s_at	ESR1	-0.257642977	9.68E-07	3.93E-06
216724_at	DCLK2	0.63994464	9.71E-07	3.94E-06
1566480_x_at	MEIOC	0.478348308	9.72E-07	3.94E-06
222154_s_at	SPATS2L	0.532803165	9.75E-07	3.96E-06
228088_at	SESTD1	-0.597945918	9.76E-07	3.96E-06
214381_at	SEPTIN7P11	-0.164774349	9.77E-07	3.97E-06
215159_s_at	NADK	0.426341588	9.78E-07	3.97E-06
212428_at	ECPAS	-0.56199962	9.80E-07	3.98E-06
217717_s_at	YWHAB	-0.650019172	9.82E-07	3.98E-06
36711_at	MAFF	1.411459974	9.84E-07	3.99E-06
233625_x_at	INTS11	0.350040006	9.84E-07	3.99E-06
1556900_at	APCDD1L-DT	-0.185405697	9.87E-07	4.00E-06
219275_at	PDCD5	0.398819514	9.87E-07	4.00E-06
204841_s_at	EEA1	0.6948759	9.88E-07	4.01E-06
212668_at	SMURF1	-0.207588879	9.88E-07	4.01E-06
1558483_at	LRRC27	-0.372827226	9.89E-07	4.01E-06
244278_at	LOC102723657	-0.208403921	9.89E-07	4.01E-06
1558813_at	TMED5	-0.177451702	9.89E-07	4.01E-06
240083_at	MEG8	-0.274519823	9.90E-07	4.01E-06
244256_at	CACNA1E	-0.16372376	9.93E-07	4.03E-06
1568934_at	CX3CR1	-0.801050096	9.94E-07	4.03E-06
206409_at	TIAM1	-0.466118577	9.95E-07	4.03E-06
213850_s_at	SCAF11	0.775627835	9.95E-07	4.03E-06
224558_s_at	MALAT1	0.676185237	9.96E-07	4.03E-06
213001_at	ANGPTL2	0.963171389	9.96E-07	4.03E-06
228340_at	TLE3	0.413595788	9.97E-07	4.04E-06
210710_at	AGGF1	0.258279903	9.98E-07	4.04E-06
205727_at	TEP1	0.308198519	9.98E-07	4.04E-06
227039_at	AKAP13	0.516688368	9.98E-07	4.04E-06
214141_x_at	SRSF7	0.398208742	1.00E-06	4.05E-06
213964_x_at	C10orf95-AS1	-0.154063259	1.00E-06	4.05E-06
1555553_a_at	SLC22A7	0.163768075	1.00E-06	4.06E-06
1554367_at	CALHM1	-0.210058951	1.00E-06	4.06E-06
208538_at	ANP32CP	-0.177939593	1.00E-06	4.06E-06
226335_at	RPS6KA3	0.455066174	1.00E-06	4.07E-06
200977_s_at	TAX1BP1	0.37054424	1.00E-06	4.07E-06
222212_s_at	CERS2	0.637613926	1.01E-06	4.07E-06
201102_s_at	PFKL	0.313394631	1.01E-06	4.07E-06
211347_at	CDC14B	-0.226295436	1.01E-06	4.08E-06
222984_at	PAIP2	-0.395192423	1.01E-06	4.09E-06
207251_at	MEP1B	-0.330893353	1.01E-06	4.09E-06
231865_at	NCKAP5L	0.29827237	1.01E-06	4.09E-06
223926_at	KIF2B	-0.229406393	1.01E-06	4.10E-06
233609_at	PTPRK	-0.462326405	1.01E-06	4.10E-06
225737_s_at	FBXO22	0.442801752	1.02E-06	4.11E-06
223336_s_at	RAB18	-0.54358757	1.02E-06	4.11E-06
233350_s_at	TEX264	0.427061542	1.02E-06	4.11E-06
208852_s_at	CANX	0.650971817	1.02E-06	4.11E-06
216300_x_at	RARA	0.330288773	1.02E-06	4.12E-06
220074_at	CDHR5	-0.247065747	1.02E-06	4.12E-06
235719_at	CYP4V2	-0.361562369	1.02E-06	4.13E-06
242234_at	XAF1	0.621064002	1.02E-06	4.13E-06
200674_s_at	RPL32	0.29785614	1.02E-06	4.14E-06
208629_s_at	HADHA	0.457704271	1.02E-06	4.14E-06
212415_at	SEPTIN6	0.461133931	1.02E-06	4.14E-06
1554568_at	DYNLRB1	-0.225527132	1.03E-06	4.14E-06
219727_at	DUOX2	-0.210141588	1.03E-06	4.15E-06
1563074_at	LINC01743	-0.264991502	1.03E-06	4.16E-06
220284_at	DKKL1	-0.266458512	1.03E-06	4.16E-06
209648_x_at	SOCS5	-0.629671877	1.03E-06	4.16E-06
212764_at	ZEB1	0.63125177	1.03E-06	4.17E-06
212794_s_at	WASHC4	1.155025061	1.03E-06	4.18E-06
228915_at	DACH1	-0.909490869	1.04E-06	4.18E-06
1553640_at	XKR6	-0.400791265	1.04E-06	4.19E-06
229375_at	PPIE	0.232578937	1.04E-06	4.19E-06
209694_at	PTS	-0.450529609	1.04E-06	4.21E-06
205212_s_at	ACAP1	-0.284555688	1.04E-06	4.22E-06
221562_s_at	SIRT3	-0.306197159	1.05E-06	4.23E-06
218837_s_at	UBE2D4	0.403120804	1.05E-06	4.23E-06
202450_s_at	CTSK	0.90591088	1.05E-06	4.23E-06
238706_at	TENT2	0.719774442	1.05E-06	4.24E-06
1554549_a_at	WDR20	-0.395354608	1.05E-06	4.24E-06
206696_at	GPR143	-0.388114899	1.05E-06	4.24E-06
238444_at	ZNF618	0.669545064	1.05E-06	4.25E-06
217497_at	TYMP	0.301737096	1.05E-06	4.25E-06
1494_f_at	CYP2A6	-0.220280708	1.06E-06	4.27E-06
217968_at	EIPR1	-0.417170721	1.06E-06	4.27E-06
205598_at	TRAIP	0.291066761	1.06E-06	4.27E-06
201639_s_at	CPSF1	0.449668271	1.06E-06	4.28E-06
211241_at	ANXA2P3	0.271350492	1.06E-06	4.29E-06
223243_s_at	EDEM3	0.462195164	1.06E-06	4.29E-06
215192_at	PMS2P4	-0.292278699	1.07E-06	4.30E-06
71933_at	WNT6	-0.270516131	1.07E-06	4.31E-06
221761_at	ADSS2	-0.485975309	1.07E-06	4.32E-06
236372_at	PANX1	-0.365686936	1.07E-06	4.33E-06
1555304_a_at	KCNH5	-0.274905225	1.07E-06	4.33E-06
244182_at	LOC101929536	-0.291248565	1.08E-06	4.35E-06
235091_at	PDE12	-0.224071329	1.08E-06	4.35E-06
238055_at	ATP8B1-AS1	0.318041091	1.08E-06	4.35E-06
218328_at	COQ4	0.393518888	1.08E-06	4.35E-06
224240_s_at	CCL28	-0.209744064	1.08E-06	4.35E-06
210286_s_at	SLC4A7	0.76177813	1.08E-06	4.35E-06
213896_x_at	FAM149B1	-0.401207323	1.09E-06	4.37E-06
1570110_at	LOC101928730	-0.198156011	1.09E-06	4.38E-06
221600_s_at	AAMDC	0.250106941	1.09E-06	4.38E-06
244500_s_at	EVI5L	-0.284990662	1.09E-06	4.39E-06
212263_at	QKI	0.830282075	1.09E-06	4.39E-06
208358_s_at	UGT8	-1.567982442	1.09E-06	4.40E-06
226868_at	GXYLT1	0.497264294	1.09E-06	4.40E-06
211480_s_at	SLCO1A2	-0.913543313	1.09E-06	4.40E-06
207338_s_at	ZNF200	0.424441883	1.10E-06	4.42E-06
203700_s_at	DIO2	-0.823092114	1.10E-06	4.43E-06
214611_at	GRIK1	-0.597024459	1.10E-06	4.43E-06
209404_s_at	TMED7	0.494275275	1.10E-06	4.44E-06
1559995_at	SAMD14	-0.420070668	1.10E-06	4.44E-06
214327_x_at	TPT1	0.174787789	1.10E-06	4.44E-06
208743_s_at	YWHAB	-0.568484921	1.10E-06	4.44E-06
226988_s_at	MYH14	-0.364906242	1.11E-06	4.46E-06
206530_at	RAB30	-0.232498097	1.11E-06	4.47E-06
212572_at	STK38L	0.589238333	1.11E-06	4.47E-06
221842_s_at	ZNF131	0.439661297	1.11E-06	4.47E-06
214274_s_at	ACAA1	0.502652024	1.12E-06	4.48E-06
202039_at	MYO18A	-0.518663055	1.12E-06	4.49E-06
214890_s_at	FAM149A	-0.810559687	1.12E-06	4.49E-06
226605_at	DGKQ	-0.497384235	1.12E-06	4.49E-06
210152_at	LILRB4	0.701462498	1.12E-06	4.50E-06
1555735_a_at	BAP1	-0.39441193	1.12E-06	4.50E-06
204815_s_at	DHX34	0.317019566	1.12E-06	4.50E-06
228041_at	AASDH	0.376140183	1.12E-06	4.50E-06
1555395_at	AKAP12	0.2161207	1.13E-06	4.52E-06
232874_at	DOCK9	-0.920838596	1.13E-06	4.52E-06
219409_at	SNIP1	0.349217716	1.13E-06	4.53E-06
241754_at	SCAI	-0.265266594	1.13E-06	4.53E-06
203329_at	PTPRM	-0.511270576	1.13E-06	4.53E-06
204886_at	PLK4	0.393764692	1.13E-06	4.54E-06
212405_s_at	METTL13	0.298514999	1.13E-06	4.54E-06
214531_s_at	SNX1	0.718503668	1.13E-06	4.54E-06
235731_at	AIPL1	-0.23133205	1.13E-06	4.54E-06
204015_s_at	DUSP4	0.603924724	1.13E-06	4.55E-06
203629_s_at	COG5	0.462065256	1.14E-06	4.57E-06
203962_s_at	NEBL	-1.312061565	1.14E-06	4.57E-06
238733_at	MDM2	1.074027284	1.14E-06	4.58E-06
214175_x_at	PDLIM4	1.086388557	1.14E-06	4.58E-06
230395_at	METTL9	0.446034425	1.14E-06	4.58E-06
200050_at	ZNF146	0.516659792	1.14E-06	4.58E-06
209847_at	CDH17	-0.244295921	1.14E-06	4.59E-06
205936_s_at	HK3	0.480780489	1.14E-06	4.59E-06
201625_s_at	INSIG1	-0.398795481	1.14E-06	4.59E-06
233528_s_at	CASTOR1	0.59746314	1.14E-06	4.59E-06
208737_at	ATP6V1G1	0.418023909	1.15E-06	4.60E-06
213075_at	OLFML2A	0.791134229	1.15E-06	4.60E-06
205711_x_at	ATP5F1C	-0.365975658	1.15E-06	4.61E-06
226388_at	TCEA3	0.810186124	1.15E-06	4.61E-06
204161_s_at	ENPP4	-1.316022336	1.15E-06	4.61E-06
202256_at	CD2BP2	0.310918852	1.15E-06	4.62E-06
206247_at	MICB	0.79060018	1.15E-06	4.62E-06
209842_at	SOX10	-1.289161071	1.15E-06	4.62E-06
235753_at	HOXA7	1.037310202	1.16E-06	4.63E-06
45653_at	KCTD13	-0.557130691	1.16E-06	4.64E-06
238087_at	RTCA	-0.267501883	1.16E-06	4.64E-06
227153_at	IMMP2L	0.422671311	1.16E-06	4.64E-06
209893_s_at	FUT4	0.31809933	1.16E-06	4.64E-06
237466_s_at	HHIP	-0.55723499	1.16E-06	4.66E-06
225564_at	SPATA13	0.758059713	1.16E-06	4.66E-06
206027_at	S100A3	0.348095474	1.16E-06	4.66E-06
205081_at	CRIP1	1.070163312	1.16E-06	4.66E-06
205761_s_at	DUS4L	0.48269374	1.17E-06	4.68E-06
239883_s_at	ANO4	-0.20243332	1.17E-06	4.68E-06
209792_s_at	KLK10	-0.259909169	1.17E-06	4.69E-06
1569322_at	LINC00857	-0.242561048	1.17E-06	4.69E-06
1553634_a_at	WEE2-AS1	0.222087956	1.17E-06	4.69E-06
202519_at	MLXIP	0.703821804	1.17E-06	4.70E-06
204981_at	SLC67A1	0.533857779	1.18E-06	4.71E-06
214730_s_at	GLG1	0.583564583	1.18E-06	4.71E-06
228131_at	ERCC1	0.553880302	1.18E-06	4.72E-06
215554_at	GPLD1	-0.609047676	1.18E-06	4.72E-06
235749_at	UGGT2	0.2482667	1.18E-06	4.72E-06
221162_at	HHLA1	-0.243023492	1.18E-06	4.72E-06
214926_at	SPTAN1	-0.215014135	1.18E-06	4.73E-06
65472_at	C2orf68	0.412780017	1.18E-06	4.73E-06
223242_s_at	MFSD11	0.551797906	1.18E-06	4.74E-06
223562_at	PARVG	0.415285761	1.19E-06	4.75E-06
234953_x_at	ZNF19	0.282262056	1.19E-06	4.75E-06
217473_x_at	SLC11A1	0.335154635	1.19E-06	4.77E-06
205587_at	CEP43	-0.325457279	1.19E-06	4.77E-06
202657_s_at	SERTAD2	0.583208334	1.19E-06	4.77E-06
225831_at	LUZP1	-0.309345358	1.19E-06	4.78E-06
AFFX-HUMISGF3A/M97935_5_at	STAT1	0.525891657	1.19E-06	4.78E-06
1570048_at	DNAJC24	0.305715261	1.20E-06	4.78E-06
236504_x_at	C6orf52	-0.353694861	1.20E-06	4.78E-06
204699_s_at	UTP25	0.246174122	1.20E-06	4.78E-06
1556405_s_at	LINC01785	-0.200539807	1.20E-06	4.79E-06
208140_s_at	DRC3	0.376434993	1.20E-06	4.81E-06
214479_at	GFRA3	-0.216547662	1.20E-06	4.81E-06
204213_at	PIGR	-0.207675916	1.21E-06	4.82E-06
1555872_a_at	GLIDR	0.544623346	1.21E-06	4.83E-06
220866_at	ADAMTS6	0.237624166	1.21E-06	4.84E-06
229693_at	TMEM220	0.49167569	1.21E-06	4.84E-06
205043_at	CFTR	-0.242833439	1.21E-06	4.84E-06
218621_at	HEMK1	0.354466035	1.21E-06	4.84E-06
226214_at	GDE1	-0.339674151	1.21E-06	4.84E-06
232966_at	LPIN3	-0.25590945	1.21E-06	4.85E-06
239763_at	PRDM11	-0.241595088	1.22E-06	4.85E-06
32723_at	CSTF1	0.349938099	1.22E-06	4.85E-06
211718_at	MGC2889	-0.286849371	1.22E-06	4.86E-06
238075_at	CHEK1	0.442556181	1.22E-06	4.87E-06
222317_at	PDE3B	-0.343540161	1.22E-06	4.88E-06
1552553_a_at	NLRC4	0.346163772	1.23E-06	4.89E-06
200087_s_at	TMED2	0.512238406	1.23E-06	4.89E-06
224520_s_at	BEST3	0.814658315	1.23E-06	4.89E-06
1555751_a_at	GEMIN7	0.343721893	1.23E-06	4.90E-06
1554010_at	NDST1	-0.254600385	1.23E-06	4.90E-06
204512_at	HIVEP1	-0.484436121	1.23E-06	4.90E-06
227470_at	ZNF48	-0.25138016	1.23E-06	4.90E-06
215522_at	SORCS3	-1.146989415	1.23E-06	4.90E-06
200695_at	PPP2R1A	-0.3793204	1.23E-06	4.90E-06
226680_at	IKZF5	-0.627595254	1.23E-06	4.91E-06
207255_at	LEPR	-0.254279051	1.23E-06	4.91E-06
205833_s_at	PART1	-0.267695351	1.23E-06	4.91E-06
215220_s_at	TPR	0.595696635	1.23E-06	4.91E-06
229901_at	ZNF488	-0.857567638	1.23E-06	4.91E-06
229203_at	B4GALNT3	-0.222349359	1.23E-06	4.91E-06
223507_at	CLPX	-0.440999496	1.23E-06	4.91E-06
215199_at	CALD1	0.669182517	1.23E-06	4.91E-06
34868_at	SMG5	0.264193925	1.23E-06	4.91E-06
203197_s_at	CZIB	0.292340675	1.23E-06	4.92E-06
215895_x_at	PLIN2	0.263067599	1.24E-06	4.93E-06
240412_s_at	MROH2B	-0.217963791	1.24E-06	4.93E-06
206516_at	AMH	0.578234467	1.24E-06	4.94E-06
235965_at	BHLHA15	-0.210812946	1.24E-06	4.94E-06
201849_at	BNIP3	-0.768239799	1.24E-06	4.94E-06
227321_at	CASTOR3P	-0.632662873	1.24E-06	4.94E-06
200092_s_at	RPL37	0.31601243	1.24E-06	4.95E-06
238979_at	HPS1-AS1	-0.235461658	1.25E-06	4.96E-06
207182_at	GABRA6	-0.209752446	1.25E-06	4.97E-06
208073_x_at	TTC3	-0.483732738	1.25E-06	4.97E-06
216973_s_at	HOXB7	0.692249933	1.25E-06	4.98E-06
219670_at	BEND5	-0.706643938	1.25E-06	4.98E-06
232441_at	KRR1	0.63077551	1.25E-06	4.98E-06
228510_at	ATAT1	0.372666747	1.25E-06	4.99E-06
239930_at	GALNT2	0.748288262	1.25E-06	4.99E-06
1555234_a_at	RHOJ	0.408545837	1.25E-06	4.99E-06
208711_s_at	CCND1	0.749953049	1.25E-06	4.99E-06
226504_at	PHETA2	0.363640497	1.26E-06	5.00E-06
225249_at	SPPL2B	0.425347015	1.26E-06	5.00E-06
200091_s_at	RPS25	0.280805281	1.26E-06	5.01E-06
225702_at	C8orf76	0.523218509	1.26E-06	5.01E-06
217836_s_at	YY1AP1	0.352935524	1.26E-06	5.01E-06
204501_at	CCN3	-0.565105253	1.26E-06	5.02E-06
231872_at	LRRCC1	0.518129029	1.26E-06	5.03E-06
64474_g_at	DGCR8	0.388583171	1.27E-06	5.05E-06
221703_at	BRIP1	0.503982872	1.27E-06	5.05E-06
1552643_at	ZNF626	0.283329258	1.28E-06	5.08E-06
239286_at	CDH11	0.437367267	1.28E-06	5.09E-06
226891_at	XXYLT1	0.402840266	1.28E-06	5.09E-06
218679_s_at	VPS28	0.386407225	1.28E-06	5.09E-06
214272_at	CYLD	-0.243885354	1.28E-06	5.10E-06
210345_s_at	DNAH9	0.556185507	1.28E-06	5.10E-06
225382_at	ZNF275	0.447186604	1.29E-06	5.11E-06
237254_at	SLC5A11	-0.788523626	1.29E-06	5.11E-06
202978_s_at	CREBZF	0.476261644	1.29E-06	5.11E-06
207455_at	P2RY1	0.472483109	1.29E-06	5.11E-06
226510_at	HEATR5A	0.674275405	1.29E-06	5.13E-06
232124_at	GASK1A	0.818525838	1.29E-06	5.13E-06
200742_s_at	TPP1	0.666146081	1.29E-06	5.13E-06
205098_at	CCR1	0.804493011	1.29E-06	5.14E-06
209134_s_at	RPS6	0.352394434	1.29E-06	5.14E-06
1554503_a_at	OSCAR	0.316509481	1.29E-06	5.14E-06
221934_s_at	DALRD3	0.328106367	1.29E-06	5.14E-06
221269_s_at	SH3BGRL3	0.530954284	1.30E-06	5.14E-06
219010_at	INAVA	0.718219074	1.30E-06	5.15E-06
226636_at	PLD1	-0.62983343	1.30E-06	5.15E-06
202300_at	LAMTOR5	0.434999606	1.30E-06	5.15E-06
1555472_at	SORBS2	-0.249182573	1.30E-06	5.16E-06
205085_at	ORC1	0.264679514	1.30E-06	5.16E-06
214229_at	DNAH17	-0.617667857	1.30E-06	5.16E-06
206984_s_at	RIT2	-1.455851702	1.30E-06	5.16E-06
215186_at	TBC1D30	-0.215583975	1.30E-06	5.17E-06
202498_s_at	SLC2A3	-0.9804845	1.30E-06	5.17E-06
1562028_at	CCND3	0.389076357	1.31E-06	5.18E-06
212140_at	PDS5A	0.38282883	1.31E-06	5.19E-06
211060_x_at	GPAA1	0.321226484	1.31E-06	5.19E-06
202094_at	BIRC5	0.481107374	1.31E-06	5.20E-06
221473_x_at	SERINC3	-0.43357828	1.31E-06	5.20E-06
220482_s_at	SERGEF	-0.337382367	1.32E-06	5.22E-06
237897_at	ADAM17	-0.205070638	1.32E-06	5.22E-06
214393_at	RND2	0.807084299	1.32E-06	5.23E-06
229343_at	GTSE1	-0.249646273	1.32E-06	5.23E-06
241710_at	C1GALT1C1L	0.486220298	1.32E-06	5.23E-06
221199_at	GFRA4	-0.311551039	1.34E-06	5.30E-06
221990_at	PAX8	-0.209039243	1.34E-06	5.31E-06
1568870_at	SLC24A4	-0.976358157	1.34E-06	5.32E-06
225866_at	RPF2	0.481936314	1.34E-06	5.32E-06
239933_x_at	BBOF1	-0.300929043	1.34E-06	5.32E-06
214594_x_at	ATP8B1	0.522098933	1.34E-06	5.32E-06
233595_at	USP34	0.50897856	1.35E-06	5.33E-06
200606_at	DSP	-0.832160806	1.35E-06	5.34E-06
233732_at	GARS1-DT	0.263631989	1.35E-06	5.34E-06
212317_at	TNPO3	0.361892341	1.35E-06	5.35E-06
219326_s_at	B3GNT2	-0.421872446	1.35E-06	5.35E-06
220182_at	SLC25A23	-0.65739211	1.35E-06	5.35E-06
224186_s_at	RNF123	-0.287130907	1.35E-06	5.35E-06
211075_s_at	CD47	0.678180278	1.35E-06	5.35E-06
228422_at	LHFPL4	-0.624797408	1.35E-06	5.36E-06
228154_at	C19orf44	0.281484552	1.36E-06	5.37E-06
201157_s_at	NMT1	0.453756261	1.36E-06	5.37E-06
235653_s_at	THAP6	0.277258768	1.36E-06	5.38E-06
218991_at	HEATR6	0.278756153	1.36E-06	5.38E-06
217080_s_at	HOMER2	-0.365887702	1.36E-06	5.39E-06
242064_at	SDK2	-0.507649224	1.37E-06	5.41E-06
229258_at	KIF12	-0.24672494	1.37E-06	5.42E-06
242350_s_at	ST8SIA6-AS1	-0.241202084	1.37E-06	5.42E-06
227916_x_at	EXOSC3	0.445592643	1.37E-06	5.43E-06
